ID,target
ID_00241643,0.030456906715936274
ID_00312043,0.02244510689914347
ID_00345323,0.0388145152895494
ID_00369643,0.029250284285104743
ID_00381163,0.03645338538618136
ID_00383723,0.0688731786176499
ID_00395243,0.03172683458260754
ID_00404203,0.014369328310454727
ID_00406763,0.011320300931179361
ID_00450283,0.016067366656784852
ID_00505323,0.019557920396837358
ID_00562923,0.010514039733343888
ID_00574443,0.009611886287804789
ID_00584683,0.07251110977143854
ID_00634603,0.01922036169686901
ID_00669163,0.019750759752996228
ID_00674283,0.02894244708178602
ID_00712683,0.03826535835114774
ID_00715243,0.03358794839204078
ID_00749803,0.08605093299902469
ID_00761323,0.03983222802153542
ID_00770283,0.01789405582936937
ID_00779243,0.5691730111914467
ID_00804843,0.03524831382144354
ID_00812523,0.011414693670373214
ID_00813803,0.0158182281294991
ID_00824043,0.03729810606776092
ID_00839403,0.05704995793944391
ID_00925163,0.049252508668490284
ID_00929003,0.04212473393736059
ID_00931563,0.011709260713089401
ID_00934123,0.016189207713101443
ID_00943083,0.021190031913976722
ID_00986603,0.02232581645759581
ID_01000683,0.02649601290767212
ID_01005803,0.03013730533082662
ID_01009643,0.024265975429818714
ID_01063403,0.06424269420582764
ID_01260523,0.03899500528493979
ID_01274603,0.010282846675011009
ID_01375723,0.02716658376983181
ID_01419243,0.05474018695132207
ID_01430763,0.032891576992438165
ID_01433323,0.00576965949372919
ID_01465323,0.029497303808424486
ID_01467883,0.01699520084012607
ID_01474283,0.02309892769507433
ID_01507563,0.08770805506479573
ID_01554923,0.024891256037883454
ID_01577963,0.16239014669288476
ID_01597163,0.006971791659244772
ID_01617643,0.007992037649442268
ID_01620203,0.02179534182788818
ID_01656043,0.029321442239837053
ID_01658603,0.061945560410612006
ID_01693163,0.027461904460544532
ID_01753323,0.04115591496257759
ID_01796843,0.011932918771722034
ID_01828843,0.1977437937114946
ID_01840363,0.013887581300031907
ID_01863403,0.04517204807177382
ID_01905643,0.01686470147816679
ID_01928683,0.011890049851911083
ID_02064363,0.013404706577705075
ID_02068203,0.010961812048450906
ID_02226923,0.06929929325624198
ID_02241003,0.020324715811191926
ID_02280683,0.029520168933780646
ID_02326763,0.025145767704343996
ID_02344683,0.05087298876353894
ID_02408683,0.01952983932340101
ID_02422763,0.020490993464341394
ID_02434283,0.013257534153410685
ID_02443243,0.04351817423510505
ID_02453483,0.031265260327069444
ID_02466283,0.039240958578184604
ID_02508523,0.03563889521985179
ID_02554603,0.025436700290914046
ID_02567403,0.034757059919799965
ID_02569963,0.025646202101440103
ID_02589163,0.02553602468028672
ID_02604523,0.016127359824589495
ID_02616043,0.09549680381916027
ID_02636523,0.026931640541239504
ID_02708203,0.009654226811609604
ID_02806763,0.004519158047393418
ID_02886123,0.0696711767135096
ID_02889963,0.051155746969792595
ID_02909163,0.008144873703962316
ID_02956523,0.019122136219858286
ID_02959083,0.014517222933315853
ID_03014123,0.06647829152570846
ID_03057643,0.012520921801973572
ID_03076843,0.03453651559675509
ID_03092203,0.011058934961508326
ID_03094763,0.029982271948540983
ID_03102443,0.05841708551616105
ID_03180523,0.015860315565937175
